metric                                  , definition                                                                                                         , method_note                                                                                                                                                                                                                                                                                                                        , unit        , builder_version    , input_fingerprint_sha256
benchmark_runtime_host_s                , Host-side interval from benchmark start to benchmark end.                                                          ,                                                                                                                                                                                                                                                                                                                                    , s           , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
benchmark_runtime_ycsb_s                , Maximum YCSB elapsed time in the workload CSV.                                                                     ,                                                                                                                                                                                                                                                                                                                                    , s           , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
steady_throughput_ops_s                 , Mean throughput in the scenario-specific baseline steady-state window.                                             , YCSB/pgstats rows are interval-end reports selected with elapsed_sec > start and elapsed_sec <= end.                                                                                                                                                                                                                               , operations/s, 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
pre_throughput_ops_s                    , Mean throughput during the 20 s immediately before migration or relocation.                                        , YCSB/pgstats rows are interval-end reports selected with elapsed_sec > start and elapsed_sec <= end.                                                                                                                                                                                                                               , operations/s, 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
during_throughput_ops_s                 , Mean throughput while migration is active.                                                                         , YCSB/pgstats rows are interval-end reports selected with elapsed_sec > start and elapsed_sec <= end.                                                                                                                                                                                                                               , operations/s, 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
pre_throttle_10s_throughput_ops_s       , Mean throughput during the 10 s immediately before the first observed positive CPU throttle sample.                , YCSB/pgstats rows are interval-end reports selected with elapsed_sec > start and elapsed_sec <= end.                                                                                                                                                                                                                               , operations/s, 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
throttled_throughput_ops_s              , Mean throughput from the first observed positive CPU throttle sample until migration completion.                   , YCSB/pgstats rows are interval-end reports selected with elapsed_sec > start and elapsed_sec <= end.                                                                                                                                                                                                                               , operations/s, 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
post_0_10_throughput_ops_s              , "Mean throughput in the nominal (0, 10] s interval after completion/resumption."                                   , YCSB/pgstats rows are interval-end reports selected with elapsed_sec > start and elapsed_sec <= end.                                                                                                                                                                                                                               , operations/s, 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
post_10_30_throughput_ops_s             , "Mean throughput in the nominal (10, 30] s interval after completion/resumption."                                  , YCSB/pgstats rows are interval-end reports selected with elapsed_sec > start and elapsed_sec <= end.                                                                                                                                                                                                                               , operations/s, 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
post_30_90_throughput_ops_s             , "Mean of available throughput reports in the nominal (30, 90] s interval after completion/resumption."             , YCSB/pgstats rows are interval-end reports selected with elapsed_sec > start and elapsed_sec <= end. The nominal 60-second window is retained even when the workload ends early; available reports are used and coverage is reported separately.                                                                                   , operations/s, 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
post_30_90_observed_samples             , "Number of one-second YCSB reports available in the nominal (30, 90] s interval."                                  , The nominal 60-second window is retained even when the workload ends early; available reports are used and coverage is reported separately.                                                                                                                                                                                        , reports     , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
post_30_90_observed_duration_s          , "Duration represented by available one-second YCSB reports in the nominal (30, 90] s interval."                    , The nominal 60-second window is retained even when the workload ends early; available reports are used and coverage is reported separately.                                                                                                                                                                                        , s           , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
post_30_90_complete                     , "Whether all 60 expected one-second YCSB reports were available in the nominal (30, 90] s interval."               , The nominal 60-second window is retained even when the workload ends early; available reports are used and coverage is reported separately.                                                                                                                                                                                        , boolean     , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
migration_duration_event_s              , Host event interval from migration_started to migration_end.                                                       ,                                                                                                                                                                                                                                                                                                                                    , s           , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
migration_duration_qmp_s                , QEMU query-migrate total-time converted from ms to s.                                                              ,                                                                                                                                                                                                                                                                                                                                    , s           , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
migration_downtime_ms                   , QEMU query-migrate downtime.                                                                                       ,                                                                                                                                                                                                                                                                                                                                    , ms          , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
service_interruption_s                  , Mechanism-specific host-side service interruption.                                                                 ,                                                                                                                                                                                                                                                                                                                                    , s           , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
